Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -309836.227  -309836.227        0.000     0.0
0.0100      -309836.260  -309841.336        5.076    86.5
0.0200      -309836.272  -309843.170        6.898   117.5
0.0300      -309836.281  -309844.385        8.104   138.1
0.0400      -309836.281  -309845.232        8.951   152.5
0.0500      -309836.286  -309845.651        9.366   159.6
0.0600      -309836.285  -309845.894        9.609   163.7
0.0700      -309836.278  -309846.260        9.982   170.1
0.0800      -309836.274  -309846.454       10.180   173.5
0.0900      -309836.272  -309846.351       10.079   171.7
0.1000      -309836.276  -309846.362       10.086   171.9
0.1100      -309836.276  -309846.080        9.804   167.1
0.1200      -309836.277  -309846.332       10.055   171.3
0.1300      -309836.272  -309846.142        9.871   168.2
0.1400      -309836.274  -309846.258        9.983   170.1
0.1500      -309836.276  -309846.437       10.161   173.1
0.1600      -309836.274  -309846.333       10.059   171.4
0.1700      -309836.273  -309846.089        9.816   167.3
0.1800      -309836.277  -309846.422       10.145   172.9
0.1900      -309836.279  -309846.331       10.051   171.3
0.2000      -309836.280  -309846.468       10.188   173.6
0.2100      -309836.284  -309846.906       10.623   181.0
0.2200      -309836.283  -309846.840       10.557   179.9
0.2300      -309836.278  -309846.526       10.248   174.6
0.2400      -309836.276  -309846.577       10.301   175.5
0.2500      -309836.277  -309846.505       10.228   174.3
0.2600      -309836.274  -309846.217        9.943   169.4
0.2700      -309836.273  -309846.931       10.658   181.6
0.2800      -309836.274  -309846.722       10.449   178.0
0.2900      -309836.277  -309847.124       10.846   184.8
0.3000      -309836.275  -309846.962       10.687   182.1
0.3100      -309836.280  -309847.499       11.219   191.2
0.3200      -309836.283  -309847.476       11.194   190.7
0.3300      -309836.280  -309847.068       10.788   183.8
0.3400      -309836.277  -309847.560       11.283   192.3
0.3500      -309836.275  -309847.196       10.921   186.1
0.3600      -309836.282  -309847.871       11.589   197.5
0.3700      -309836.280  -309847.541       11.261   191.9
0.3800      -309836.279  -309847.381       11.103   189.2
0.3900      -309836.279  -309847.239       10.960   186.8
0.4000      -309836.281  -309847.523       11.242   191.6
0.4100      -309836.275  -309847.573       11.298   192.5
0.4200      -309836.275  -309847.322       11.047   188.2
0.4300      -309836.278  -309847.282       11.004   187.5
0.4400      -309836.279  -309847.626       11.346   193.3
0.4500      -309836.278  -309847.572       11.294   192.4
0.4600      -309836.282  -309847.984       11.702   199.4
0.4700      -309836.284  -309848.189       11.904   202.9
0.4800      -309836.278  -309847.922       11.644   198.4
0.4900      -309836.281  -309848.004       11.724   199.8
0.5000      -309836.284  -309847.654       11.370   193.7
0.5100      -309836.283  -309847.839       11.556   196.9
0.5200      -309836.282  -309848.093       11.812   201.3
0.5300      -309836.281  -309847.892       11.611   197.9
0.5400      -309836.282  -309847.965       11.683   199.1
0.5500      -309836.276  -309847.429       11.153   190.1
0.5600      -309836.275  -309847.521       11.245   191.6
0.5700      -309836.280  -309847.632       11.352   193.4
0.5800      -309836.281  -309847.863       11.582   197.4
0.5900      -309836.276  -309847.519       11.243   191.6
0.6000      -309836.279  -309848.086       11.807   201.2
0.6100      -309836.277  -309847.585       11.307   192.7
0.6200      -309836.274  -309848.047       11.773   200.6
0.6300      -309836.276  -309848.514       12.238   208.5
0.6400      -309836.280  -309848.702       12.422   211.7
0.6500      -309836.282  -309849.016       12.734   217.0
0.6600      -309836.281  -309848.745       12.464   212.4
0.6700      -309836.285  -309849.123       12.837   218.8
0.6800      -309836.286  -309848.749       12.463   212.4
0.6900      -309836.281  -309848.352       12.070   205.7
0.7000      -309836.278  -309848.079       11.801   201.1
0.7100      -309836.283  -309848.730       12.447   212.1
0.7200      -309836.278  -309848.113       11.835   201.7
0.7300      -309836.276  -309848.335       12.059   205.5
0.7400      -309836.280  -309848.687       12.408   211.4
0.7500      -309836.282  -309848.679       12.398   211.3
0.7600      -309836.276  -309848.492       12.217   208.2
0.7700      -309836.279  -309848.990       12.711   216.6
0.7800      -309836.283  -309849.057       12.774   217.7
0.7900      -309836.279  -309848.603       12.324   210.0
0.8000      -309836.277  -309848.314       12.037   205.1
0.8100      -309836.280  -309848.431       12.150   207.0
0.8200      -309836.281  -309848.174       11.893   202.7
0.8300      -309836.280  -309848.163       11.883   202.5
0.8400      -309836.284  -309848.466       12.183   207.6
0.8500      -309836.286  -309848.575       12.289   209.4
0.8600      -309836.283  -309848.526       12.243   208.6
0.8700      -309836.278  -309848.280       12.002   204.5
0.8800      -309836.277  -309847.803       11.526   196.4
0.8900      -309836.279  -309847.756       11.477   195.6
0.9000      -309836.278  -309848.005       11.727   199.8
0.9100      -309836.285  -309848.385       12.100   206.2
0.9200      -309836.284  -309848.026       11.742   200.1
0.9300      -309836.279  -309848.040       11.762   200.4
0.9400      -309836.276  -309848.327       12.051   205.3
0.9500      -309836.280  -309848.545       12.265   209.0
0.9600      -309836.280  -309848.187       11.907   202.9
0.9700      -309836.281  -309848.737       12.456   212.3
0.9800      -309836.284  -309848.185       11.901   202.8
0.9900      -309836.287  -309848.738       12.450   212.2
1.0000      -309836.278  -309847.947       11.669   198.8
1.0100      -309836.281  -309847.621       11.340   193.2
1.0200      -309836.284  -309847.802       11.518   196.3
1.0300      -309836.277  -309847.698       11.421   194.6
1.0400      -309836.268  -309847.568       11.299   192.5
1.0500      -309836.273  -309847.812       11.539   196.6
1.0600      -309836.277  -309847.515       11.238   191.5
1.0700      -309836.280  -309847.763       11.483   195.7
1.0800      -309836.282  -309847.991       11.709   199.5
1.0900      -309836.282  -309847.942       11.660   198.7
1.1000      -309836.280  -309848.269       11.989   204.3
1.1100      -309836.281  -309848.737       12.456   212.3
1.1200      -309836.284  -309848.782       12.498   213.0
1.1300      -309836.285  -309849.156       12.871   219.3
1.1400      -309836.281  -309849.183       12.903   219.9
1.1500      -309836.277  -309848.465       12.188   207.7
1.1600      -309836.283  -309848.895       12.612   214.9
1.1700      -309836.280  -309848.680       12.400   211.3
1.1800      -309836.278  -309848.418       12.140   206.9
1.1900      -309836.280  -309848.411       12.131   206.7
1.2000      -309836.278  -309848.572       12.294   209.5
1.2100      -309836.280  -309848.957       12.677   216.0
1.2200      -309836.280  -309848.768       12.488   212.8
1.2300      -309836.284  -309848.808       12.524   213.4
1.2400      -309836.282  -309848.842       12.561   214.0
1.2500      -309836.280  -309849.080       12.800   218.1
1.2600      -309836.286  -309848.553       12.267   209.0
1.2700      -309836.286  -309848.121       11.835   201.7
1.2800      -309836.284  -309848.330       12.045   205.3
1.2900      -309836.282  -309848.044       11.762   200.4
1.3000      -309836.284  -309848.272       11.987   204.3
1.3100      -309836.284  -309849.079       12.795   218.0
1.3200      -309836.283  -309849.583       13.300   226.6
1.3300      -309836.284  -309849.615       13.331   227.2
1.3400      -309836.280  -309849.215       12.935   220.4
1.3500      -309836.281  -309849.575       13.295   226.5
1.3600      -309836.283  -309849.425       13.142   223.9
1.3700      -309836.285  -309848.735       12.449   212.1
1.3800      -309836.285  -309849.145       12.860   219.1
1.3900      -309836.281  -309849.472       13.191   224.8
1.4000      -309836.286  -309849.603       13.317   226.9
1.4100      -309836.287  -309849.433       13.146   224.0
1.4200      -309836.281  -309849.398       13.116   223.5
1.4300      -309836.280  -309848.901       12.620   215.1
1.4400      -309836.282  -309848.282       12.000   204.5
1.4500      -309836.283  -309849.014       12.730   216.9
