Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -270209.286  -270209.286        0.000     0.0
0.0100      -270209.312  -270212.642        3.330    63.6
0.0200      -270209.326  -270214.105        4.779    91.3
0.0300      -270209.334  -270215.110        5.776   110.3
0.0400      -270209.335  -270216.079        6.744   128.8
0.0500      -270209.335  -270216.126        6.791   129.7
0.0600      -270209.333  -270216.058        6.725   128.5
0.0700      -270209.328  -270215.884        6.556   125.2
0.0800      -270209.323  -270215.571        6.249   119.4
0.0900      -270209.322  -270216.037        6.715   128.3
0.1000      -270209.323  -270216.597        7.273   138.9
0.1100      -270209.322  -270216.764        7.442   142.2
0.1200      -270209.334  -270217.661        8.326   159.1
0.1300      -270209.337  -270217.094        7.757   148.2
0.1400      -270209.337  -270217.104        7.766   148.3
0.1500      -270209.342  -270216.761        7.419   141.7
0.1600      -270209.342  -270216.715        7.373   140.8
0.1700      -270209.345  -270216.981        7.636   145.9
0.1800      -270209.348  -270217.253        7.905   151.0
0.1900      -270209.349  -270217.346        7.997   152.8
0.2000      -270209.353  -270217.354        8.002   152.8
0.2100      -270209.351  -270217.891        8.540   163.1
0.2200      -270209.346  -270217.798        8.452   161.4
0.2300      -270209.343  -270217.793        8.450   161.4
0.2400      -270209.339  -270217.268        7.929   151.5
0.2500      -270209.339  -270217.687        8.348   159.5
0.2600      -270209.334  -270217.428        8.094   154.6
0.2700      -270209.326  -270217.459        8.134   155.4
0.2800      -270209.328  -270217.503        8.176   156.2
0.2900      -270209.328  -270217.994        8.666   165.5
0.3000      -270209.341  -270217.842        8.501   162.4
0.3100      -270209.345  -270218.180        8.836   168.8
0.3200      -270209.338  -270218.294        8.956   171.1
0.3300      -270209.336  -270218.280        8.944   170.8
0.3400      -270209.340  -270218.079        8.738   166.9
0.3500      -270209.335  -270217.440        8.105   154.8
0.3600      -270209.329  -270217.457        8.128   155.3
0.3700      -270209.332  -270217.626        8.294   158.4
0.3800      -270209.329  -270217.649        8.320   158.9
0.3900      -270209.327  -270218.064        8.737   166.9
0.4000      -270209.323  -270218.494        9.171   175.2
0.4100      -270209.331  -270218.590        9.258   176.8
0.4200      -270209.327  -270218.578        9.251   176.7
0.4300      -270209.333  -270218.602        9.269   177.1
0.4400      -270209.332  -270218.572        9.240   176.5
0.4500      -270209.328  -270218.547        9.219   176.1
0.4600      -270209.338  -270218.574        9.236   176.4
0.4700      -270209.327  -270218.397        9.070   173.3
0.4800      -270209.344  -270218.439        9.095   173.7
0.4900      -270209.333  -270218.370        9.037   172.6
0.5000      -270209.330  -270218.066        8.736   166.9
0.5100      -270209.331  -270217.974        8.643   165.1
0.5200      -270209.339  -270218.357        9.018   172.3
0.5300      -270209.336  -270218.617        9.281   177.3
0.5400      -270209.326  -270219.078        9.752   186.3
0.5500      -270209.344  -270219.522       10.178   194.4
0.5600      -270209.337  -270219.373       10.036   191.7
0.5700      -270209.330  -270219.287        9.957   190.2
0.5800      -270209.327  -270219.451       10.124   193.4
0.5900      -270209.326  -270219.567       10.241   195.6
0.6000      -270209.333  -270220.062       10.729   204.9
0.6100      -270209.326  -270220.085       10.758   205.5
0.6200      -270209.331  -270220.342       11.011   210.3
0.6300      -270209.335  -270220.539       11.204   214.0
0.6400      -270209.334  -270220.743       11.409   217.9
0.6500      -270209.335  -270220.955       11.620   222.0
0.6600      -270209.337  -270221.170       11.833   226.0
0.6700      -270209.334  -270220.435       11.101   212.1
0.6800      -270209.332  -270220.394       11.062   211.3
0.6900      -270209.330  -270220.200       10.870   207.6
0.7000      -270209.335  -270220.463       11.128   212.6
0.7100      -270209.339  -270220.501       11.162   213.2
0.7200      -270209.336  -270219.808       10.471   200.0
0.7300      -270209.337  -270219.914       10.577   202.0
0.7400      -270209.335  -270220.222       10.887   208.0
0.7500      -270209.330  -270220.376       11.046   211.0
