Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -219590.239  -219590.239        0.000     0.0
0.0100      -219590.265  -219593.177        2.912    65.7
0.0200      -219590.273  -219593.542        3.269    73.7
0.0300      -219590.279  -219594.587        4.307    97.2
0.0400      -219590.284  -219595.457        5.173   116.7
0.0500      -219590.280  -219594.988        4.707   106.2
0.0600      -219590.284  -219594.898        4.615   104.1
0.0700      -219590.281  -219594.859        4.577   103.2
0.0800      -219590.272  -219594.025        3.753    84.6
0.0900      -219590.278  -219594.912        4.634   104.5
0.1000      -219590.278  -219595.184        4.907   110.7
0.1100      -219590.276  -219595.335        5.059   114.1
0.1200      -219590.282  -219596.083        5.801   130.8
0.1300      -219590.277  -219595.471        5.194   117.1
0.1400      -219590.275  -219595.360        5.085   114.7
0.1500      -219590.277  -219595.441        5.164   116.5
0.1600      -219590.274  -219595.151        4.877   110.0
0.1700      -219590.278  -219595.704        5.426   122.4
0.1800      -219590.277  -219595.784        5.507   124.2
0.1900      -219590.276  -219595.722        5.445   122.8
0.2000      -219590.278  -219596.215        5.937   133.9
0.2100      -219590.274  -219596.112        5.837   131.7
0.2200      -219590.277  -219596.516        6.239   140.7
0.2300      -219590.280  -219596.902        6.622   149.4
0.2400      -219590.276  -219596.597        6.321   142.6
0.2500      -219590.279  -219596.819        6.539   147.5
0.2600      -219590.280  -219596.585        6.305   142.2
0.2700      -219590.276  -219596.043        5.767   130.1
0.2800      -219590.278  -219596.479        6.200   139.9
0.2900      -219590.275  -219596.619        6.344   143.1
0.3000      -219590.275  -219597.068        6.792   153.2
0.3100      -219590.279  -219597.376        7.097   160.1
0.3200      -219590.277  -219597.179        6.902   155.7
0.3300      -219590.280  -219597.137        6.856   154.6
0.3400      -219590.281  -219597.135        6.854   154.6
0.3500      -219590.278  -219596.915        6.637   149.7
0.3600      -219590.283  -219597.350        7.067   159.4
0.3700      -219590.282  -219597.412        7.130   160.8
0.3800      -219590.277  -219597.138        6.862   154.8
0.3900      -219590.281  -219598.084        7.803   176.0
0.4000      -219590.276  -219597.656        7.379   166.4
0.4100      -219590.278  -219597.619        7.342   165.6
0.4200      -219590.281  -219597.406        7.125   160.7
0.4300      -219590.274  -219596.896        6.623   149.4
0.4400      -219590.277  -219597.650        7.373   166.3
0.4500      -219590.278  -219597.503        7.225   163.0
0.4600      -219590.274  -219597.367        7.093   160.0
0.4700      -219590.278  -219597.660        7.382   166.5
0.4800      -219590.280  -219597.575        7.294   164.5
0.4900      -219590.280  -219597.697        7.417   167.3
0.5000      -219590.283  -219597.891        7.608   171.6
0.5100      -219590.282  -219597.806        7.524   169.7
0.5200      -219590.278  -219598.042        7.764   175.1
0.5300      -219590.274  -219598.056        7.781   175.5
0.5400      -219590.273  -219597.946        7.673   173.1
0.5500      -219590.280  -219598.429        8.150   183.8
0.5600      -219590.283  -219598.577        8.295   187.1
0.5700      -219590.281  -219598.191        7.910   178.4
0.5800      -219590.285  -219598.831        8.546   192.8
0.5900      -219590.279  -219598.330        8.052   181.6
0.6000      -219590.276  -219598.308        8.032   181.2
0.6100      -219590.277  -219598.621        8.344   188.2
0.6200      -219590.273  -219598.106        7.834   176.7
0.6300      -219590.280  -219598.455        8.176   184.4
0.6400      -219590.284  -219598.715        8.431   190.2
0.6500      -219590.280  -219598.183        7.902   178.2
0.6600      -219590.284  -219598.451        8.167   184.2
0.6700      -219590.281  -219598.506        8.225   185.5
0.6800      -219590.278  -219598.837        8.559   193.1
0.6900      -219590.280  -219598.827        8.547   192.8
0.7000      -219590.279  -219598.689        8.409   189.7
0.7100      -219590.276  -219598.672        8.396   189.4
0.7200      -219590.278  -219599.057        8.779   198.0
0.7300      -219590.277  -219598.677        8.400   189.5
0.7400      -219590.279  -219599.192        8.913   201.0
0.7500      -219590.280  -219599.798        9.517   214.7
0.7600      -219590.281  -219599.444        9.163   206.7
0.7700      -219590.278  -219599.169        8.891   200.5
0.7800      -219590.281  -219599.392        9.111   205.5
0.7900      -219590.279  -219599.343        9.064   204.4
0.8000      -219590.280  -219599.191        8.911   201.0
0.8100      -219590.278  -219599.327        9.049   204.1
0.8200      -219590.279  -219599.408        9.129   205.9
0.8300      -219590.279  -219599.398        9.119   205.7
0.8400      -219590.280  -219599.011        8.732   196.9
0.8500      -219590.286  -219599.848        9.562   215.7
