Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -201778.581  -201778.581        0.000     0.0
0.0100      -201778.639  -201783.923        5.284   133.6
0.0200      -201778.634  -201784.187        5.552   140.4
0.0300      -201778.659  -201785.755        7.096   179.4
0.0400      -201778.633  -201784.879        6.246   157.9
0.0500      -201778.652  -201786.725        8.072   204.1
0.0600      -201778.660  -201786.712        8.051   203.6
0.0700      -201778.659  -201786.406        7.747   195.9
0.0800      -201778.659  -201786.327        7.668   193.9
0.0900      -201778.636  -201786.019        7.383   186.7
0.1000      -201778.635  -201785.731        7.096   179.4
0.1100      -201778.650  -201785.812        7.162   181.1
0.1200      -201778.661  -201787.260        8.598   217.4
0.1300      -201778.670  -201786.607        7.937   200.7
0.1400      -201778.625  -201786.059        7.435   188.0
0.1500      -201778.638  -201785.934        7.296   184.5
0.1600      -201778.667  -201787.802        9.135   231.0
0.1700      -201778.652  -201786.957        8.305   210.0
0.1800      -201778.655  -201787.285        8.630   218.2
0.1900      -201778.638  -201787.311        8.672   219.3
0.2000      -201778.641  -201787.173        8.532   215.7
0.2100      -201778.658  -201787.601        8.943   226.1
0.2200      -201778.672  -201787.706        9.034   228.4
0.2300      -201778.664  -201788.025        9.361   236.7
0.2400      -201778.635  -201786.949        8.314   210.2
0.2500      -201778.648  -201787.494        8.846   223.7
0.2600      -201778.655  -201787.281        8.627   218.1
0.2700      -201778.661  -201786.981        8.320   210.4
0.2800      -201778.654  -201787.085        8.431   213.2
0.2900      -201778.651  -201786.828        8.177   206.7
0.3000      -201778.644  -201787.080        8.437   213.3
0.3100      -201778.636  -201787.203        8.567   216.6
0.3200      -201778.654  -201787.577        8.923   225.6
0.3300      -201778.662  -201787.481        8.819   223.0
0.3400      -201778.668  -201788.129        9.461   239.2
0.3500      -201778.643  -201787.437        8.794   222.3
0.3600      -201778.624  -201787.040        8.416   212.8
0.3700      -201778.653  -201787.806        9.153   231.4
0.3800      -201778.669  -201788.056        9.386   237.3
0.3900      -201778.659  -201787.203        8.545   216.0
0.4000      -201778.656  -201787.113        8.457   213.8
0.4100      -201778.657  -201787.439        8.782   222.0
0.4200      -201778.636  -201786.249        7.613   192.5
0.4300      -201778.644  -201787.035        8.391   212.1
0.4400      -201778.659  -201787.160        8.502   214.9
0.4500      -201778.660  -201787.564        8.904   225.1
0.4600      -201778.638  -201787.039        8.401   212.4
0.4700      -201778.646  -201786.870        8.224   207.9
0.4800      -201778.663  -201786.499        7.836   198.1
0.4900      -201778.652  -201786.653        8.001   202.3
0.5000      -201778.646  -201786.860        8.214   207.7
0.5100      -201778.657  -201787.660        9.003   227.6
0.5200      -201778.648  -201787.554        8.907   225.2
0.5300      -201778.637  -201787.305        8.668   219.1
0.5400      -201778.658  -201788.092        9.433   238.5
0.5500      -201778.674  -201787.998        9.324   235.7
0.5600      -201778.644  -201788.115        9.471   239.5
0.5700      -201778.639  -201787.520        8.881   224.5
0.5800      -201778.668  -201787.869        9.201   232.6
0.5900      -201778.653  -201787.458        8.805   222.6
0.6000      -201778.646  -201786.939        8.293   209.7
0.6100      -201778.642  -201786.761        8.119   205.3
0.6200      -201778.650  -201786.898        8.248   208.5
0.6300      -201778.650  -201787.276        8.626   218.1
0.6400      -201778.662  -201787.293        8.630   218.2
0.6500      -201778.664  -201787.862        9.198   232.5
0.6600      -201778.631  -201787.722        9.091   229.8
0.6700      -201778.656  -201787.891        9.235   233.5
0.6800      -201778.666  -201788.442        9.777   247.2
0.6900      -201778.665  -201788.032        9.367   236.8
0.7000      -201778.646  -201787.300        8.653   218.8
0.7100      -201778.638  -201786.814        8.176   206.7
0.7200      -201778.639  -201787.382        8.743   221.0
0.7300      -201778.648  -201787.536        8.888   224.7
0.7400      -201778.660  -201787.531        8.871   224.3
0.7500      -201778.657  -201786.525        7.868   198.9
0.7600      -201778.656  -201787.420        8.764   221.6
0.7700      -201778.637  -201787.627        8.990   227.3
0.7800      -201778.663  -201788.457        9.794   247.6
0.7900      -201778.652  -201787.425        8.773   221.8
0.8000      -201778.644  -201788.011        9.367   236.8
0.8100      -201778.644  -201787.893        9.249   233.8
0.8200      -201778.652  -201788.117        9.465   239.3
0.8300      -201778.649  -201787.451        8.802   222.5
0.8400      -201778.654  -201787.703        9.049   228.8
0.8500      -201778.669  -201788.132        9.463   239.2
0.8600      -201778.657  -201788.432        9.776   247.2
0.8700      -201778.630  -201788.057        9.427   238.3
0.8800      -201778.646  -201788.023        9.377   237.1
0.8900      -201778.665  -201787.886        9.222   233.1
0.9000      -201778.665  -201788.589        9.924   250.9
0.9100      -201778.649  -201788.291        9.642   243.8
0.9200      -201778.640  -201788.185        9.545   241.3
0.9300      -201778.638  -201788.778       10.139   256.3
0.9400      -201778.643  -201788.300        9.657   244.2
0.9500      -201778.655  -201788.751       10.096   255.2
0.9600      -201778.667  -201789.077       10.410   263.2
0.9700      -201778.668  -201788.814       10.147   256.5
0.9800      -201778.651  -201788.050        9.398   237.6
0.9900      -201778.649  -201788.476        9.827   248.4
1.0000      -201778.639  -201788.121        9.482   239.7
1.0100      -201778.652  -201788.451        9.798   247.7
1.0200      -201778.653  -201787.891        9.238   233.6
1.0300      -201778.646  -201788.023        9.377   237.1
1.0400      -201778.645  -201788.080        9.436   238.6
1.0500      -201778.649  -201788.821       10.172   257.2
1.0600      -201778.652  -201788.783       10.131   256.1
1.0700      -201778.652  -201788.697       10.045   254.0
1.0800      -201778.658  -201788.841       10.182   257.4
1.0900      -201778.665  -201788.681       10.017   253.2
1.1000      -201778.646  -201788.085        9.439   238.6
1.1100      -201778.641  -201788.153        9.512   240.5
1.1200      -201778.655  -201788.652        9.997   252.7
1.1300      -201778.671  -201788.627        9.956   251.7
1.1400      -201778.665  -201788.279        9.614   243.1
1.1500      -201778.656  -201787.764        9.108   230.3
1.1600      -201778.646  -201787.935        9.289   234.8
1.1700      -201778.639  -201787.590        8.951   226.3
1.1800      -201778.650  -201788.353        9.704   245.3
