Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -281841.123  -281841.123        0.000     0.0
0.0100      -281841.332  -281854.381       13.048   240.9
0.0200      -281841.654  -281858.266       16.612   306.7
0.0300      -281841.336  -281856.504       15.168   280.1
0.0400      -281841.353  -281856.538       15.185   280.4
0.0500      -281841.324  -281856.975       15.651   289.0
0.0600      -281841.177  -281857.200       16.023   295.9
0.0700      -281841.324  -281859.452       18.128   334.7
0.0800      -281841.315  -281857.832       16.517   305.0
0.0900      -281841.316  -281859.362       18.046   333.2
0.1000      -281841.331  -281859.255       17.924   330.9
0.1100      -281841.316  -281858.571       17.255   318.6
0.1200      -281841.314  -281859.591       18.277   337.5
0.1300      -281841.324  -281860.539       19.215   354.8
0.1400      -281841.310  -281858.327       17.017   314.2
0.1500      -281841.317  -281858.410       17.093   315.6
0.1600      -281841.314  -281859.382       18.068   333.6
0.1700      -281841.319  -281857.160       15.840   292.5
0.1800      -281841.350  -281858.220       16.869   311.5
0.1900      -281841.322  -281858.929       17.607   325.1
0.2000      -281841.308  -281858.400       17.092   315.6
0.2100      -281841.318  -281858.078       16.760   309.4
0.2200      -281841.310  -281858.339       17.029   314.4
0.2300      -281841.299  -281858.516       17.217   317.9
0.2400      -281841.314  -281859.182       17.868   329.9
0.2500      -281841.330  -281860.176       18.846   348.0
0.2600      -281841.297  -281859.800       18.503   341.6
0.2700      -281841.355  -281860.717       19.362   357.5
0.2800      -281841.316  -281860.526       19.210   354.7
0.2900      -281841.299  -281859.123       17.824   329.1
0.3000      -281841.297  -281859.547       18.249   337.0
0.3100      -281841.312  -281861.390       20.078   370.7
0.3200      -281841.380  -281860.807       19.427   358.7
0.3300      -281841.324  -281859.889       18.565   342.8
0.3400      -281841.323  -281860.572       19.249   355.4
0.3500      -281841.305  -281859.046       17.741   327.6
0.3600      -281841.307  -281859.661       18.354   338.9
0.3700      -281841.418  -281861.124       19.706   363.8
0.3800      -281841.384  -281861.522       20.138   371.8
0.3900      -281841.317  -281860.538       19.220   354.9
0.4000      -281841.311  -281860.864       19.553   361.0
0.4100      -281841.321  -281860.466       19.145   353.5
0.4200      -281841.349  -281860.372       19.024   351.2
0.4300      -281841.313  -281861.173       19.860   366.7
0.4400      -281841.350  -281860.704       19.354   357.3
0.4500      -281841.311  -281860.339       19.028   351.3
0.4600      -281841.307  -281858.916       17.610   325.1
0.4700      -281841.323  -281861.093       19.770   365.0
0.4800      -281841.327  -281861.086       19.760   364.8
0.4900      -281841.372  -281861.092       19.720   364.1
0.5000      -281841.271  -281860.787       19.516   360.3
0.5100      -281841.344  -281861.577       20.233   373.6
0.5200      -281841.299  -281860.509       19.210   354.7
0.5300      -281841.306  -281860.517       19.211   354.7
0.5400      -281841.322  -281862.647       21.325   393.7
0.5500      -281841.385  -281861.907       20.521   378.9
0.5600      -281841.362  -281862.388       21.026   388.2
0.5700      -281841.328  -281861.794       20.467   377.9
0.5800      -281841.299  -281862.065       20.765   383.4
0.5900      -281841.307  -281861.140       19.833   366.2
0.6000      -281841.304  -281860.577       19.273   355.9
0.6100      -281841.336  -281862.814       21.478   396.6
0.6200      -281841.380  -281862.997       21.617   399.1
0.6300      -281841.281  -281862.231       20.949   386.8
0.6400      -281841.358  -281861.448       20.090   370.9
0.6500      -281841.335  -281862.622       21.287   393.0
0.6600      -281841.329  -281862.112       20.782   383.7
0.6700      -281841.335  -281862.121       20.786   383.8
0.6800      -281841.355  -281861.947       20.592   380.2
0.6900      -281841.343  -281863.423       22.080   407.7
0.7000      -281841.324  -281862.940       21.616   399.1
0.7100      -281841.331  -281861.375       20.044   370.1
0.7200      -281841.342  -281861.364       20.022   369.7
0.7300      -281841.315  -281860.634       19.320   356.7
0.7400      -281841.309  -281859.935       18.626   343.9
0.7500      -281841.316  -281860.508       19.192   354.4
0.7600      -281841.340  -281861.744       20.404   376.7
0.7700      -281841.345  -281861.994       20.648   381.2
0.7800      -281841.302  -281861.873       20.571   379.8
0.7900      -281841.375  -281862.814       21.439   395.9
0.8000      -281841.349  -281862.887       21.538   397.7
0.8100      -281841.349  -281862.946       21.597   398.8
0.8200      -281841.351  -281862.853       21.501   397.0
0.8300      -281841.350  -281861.838       20.488   378.3
0.8400      -281841.347  -281861.712       20.365   376.0
0.8500      -281841.306  -281860.810       19.504   360.1
0.8600      -281841.316  -281862.299       20.983   387.4
