Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -166684.183  -166684.183        0.000     0.0
0.0100      -166684.201  -166687.222        3.021    97.8
0.0200      -166684.210  -166688.265        4.056   131.3
0.0300      -166684.214  -166688.788        4.574   148.1
0.0400      -166684.213  -166688.863        4.650   150.5
0.0500      -166684.214  -166689.427        5.213   168.7
0.0600      -166684.216  -166689.639        5.423   175.5
0.0700      -166684.210  -166689.533        5.323   172.3
0.0800      -166684.205  -166689.182        4.977   161.1
0.0900      -166684.207  -166689.454        5.247   169.8
0.1000      -166684.209  -166689.851        5.642   182.6
0.1100      -166684.220  -166690.065        5.846   189.2
0.1200      -166684.224  -166689.897        5.673   183.6
0.1300      -166684.224  -166689.961        5.737   185.7
0.1400      -166684.204  -166689.312        5.109   165.4
0.1500      -166684.206  -166689.517        5.311   171.9
0.1600      -166684.203  -166689.802        5.599   181.2
0.1700      -166684.198  -166689.521        5.323   172.3
0.1800      -166684.209  -166689.403        5.194   168.1
0.1900      -166684.208  -166689.158        4.950   160.2
0.2000      -166684.221  -166689.383        5.162   167.1
0.2100      -166684.222  -166689.595        5.373   173.9
0.2200      -166684.225  -166689.818        5.593   181.0
0.2300      -166684.226  -166689.767        5.541   179.4
0.2400      -166684.227  -166690.601        6.373   206.3
0.2500      -166684.227  -166690.851        6.624   214.4
0.2600      -166684.224  -166690.441        6.217   201.2
0.2700      -166684.223  -166690.448        6.225   201.5
0.2800      -166684.221  -166690.724        6.503   210.5
0.2900      -166684.222  -166690.713        6.491   210.1
0.3000      -166684.218  -166690.671        6.453   208.9
0.3100      -166684.214  -166691.256        7.042   227.9
0.3200      -166684.223  -166690.865        6.642   215.0
0.3300      -166684.223  -166690.859        6.636   214.8
0.3400      -166684.212  -166690.889        6.677   216.1
0.3500      -166684.212  -166690.817        6.604   213.8
0.3600      -166684.212  -166690.645        6.433   208.2
0.3700      -166684.222  -166690.941        6.718   217.5
0.3800      -166684.210  -166691.101        6.891   223.1
0.3900      -166684.218  -166690.845        6.627   214.5
0.4000      -166684.220  -166691.281        7.061   228.6
0.4100      -166684.223  -166691.318        7.095   229.6
0.4200      -166684.222  -166691.057        6.835   221.2
0.4300      -166684.218  -166690.998        6.781   219.5
0.4400      -166684.215  -166691.298        7.082   229.2
0.4500      -166684.214  -166691.239        7.025   227.4
0.4600      -166684.214  -166691.373        7.159   231.7
0.4700      -166684.212  -166691.902        7.690   248.9
0.4800      -166684.214  -166691.952        7.738   250.5
0.4900      -166684.212  -166691.645        7.433   240.6
0.5000      -166684.217  -166692.255        8.038   260.2
0.5100      -166684.217  -166692.667        8.450   273.5
0.5200      -166684.216  -166692.601        8.385   271.4
0.5300      -166684.211  -166692.167        7.956   257.5
0.5400      -166684.213  -166692.830        8.617   278.9
0.5500      -166684.211  -166692.151        7.940   257.0
0.5600      -166684.216  -166692.344        8.128   263.1
0.5700      -166684.214  -166692.222        8.007   259.2
0.5800      -166684.221  -166692.611        8.390   271.6
0.5900      -166684.219  -166692.702        8.483   274.6
0.6000      -166684.212  -166692.224        8.012   259.4
0.6100      -166684.215  -166692.814        8.599   278.4
0.6200      -166684.212  -166692.201        7.989   258.6
0.6300      -166684.213  -166691.904        7.690   248.9
